mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
214	214	3/8	iM7		D	I		iM7	i	M	7				mM7	0	0	0, -3, 1, 5		0.0	0.0
214	214	3/4	V7(b9)		D	I		V7(b9)	V		7	b9			Mm7	0	0	1, 5, 2, -1	-4	1.0	1.0
215	215	0	iM7(+b6)		D	I		iM7(+b6)	i	M	7	+b6			mM7	0	0	0, -3, 1, 5	-4	0.0	0.0
215	215	3/8	iM43		D	I		iM43	i	M	43				mM7	0	0	1, 5, 0, -3		0.0	1.0
215	215	3/4	V7(b9)		D	I		V7(b9)	V		7	b9			Mm7	0	0	1, 5, 2, -1	-4	1.0	1.0
218	218	0	I.vii%43(#3)		D	I		vii%43(#3)	vii	%	43	#3			%7	0	0	11, 3, 5, 11		5.0	11.0
219	219	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
219	219	5/8	I6(b6)		D	I		I6(b6)	I		6	b6			M	0	0	4, -4, 0		0.0	4.0
220	220	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
220	220	1/4	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
220	220	3/8	VM7(#5)		D	I		VM7(#5)	V	M	7	#5			MM7	0	0	1, 5, 9, 6		1.0	1.0
220	220	1/2	.bVII		D	I										0	0				
220	220	5/8	viio64(b3)		D	I		viio64(b3)	vii	o	64	b3			o	0	0	-1, 5, -5		5.0	-1.0
221	221	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
221	221	1/4	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
221	221	3/8	VM7(#5)		D	I		VM7(#5)	V	M	7	#5			MM7	0	0	1, 5, 9, 6		1.0	1.0
221	221	1/2	.bVII		D	I										0	0				
221	221	5/8	viio64(b3)		D	I		viio64(b3)	vii	o	64	b3			o	0	0	-1, 5, -5		5.0	-1.0
222	222	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
222	222	1/8	VM7(#5)		D	I		VM7(#5)	V	M	7	#5			MM7	0	0	1, 5, 9, 6		1.0	1.0
222	222	1/4	.bVII		D	I										0	0				
222	222	3/8	viio64(b3)		D	I		viio64(b3)	vii	o	64	b3			o	0	0	-1, 5, -5		5.0	-1.0
222	222	1/2	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
222	222	5/8	VM7(#5)		D	I		VM7(#5)	V	M	7	#5			MM7	0	0	1, 5, 9, 6		1.0	1.0
223	223	0	.bVII		D	I										0	0				
223	223	1/8	viio64(b3)		D	I		viio64(b3)	vii	o	64	b3			o	0	0	-1, 5, -5		5.0	-1.0
223	223	1/4	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
223	223	3/8	VM7(#5)		D	I		VM7(#5)	V	M	7	#5			MM7	0	0	1, 5, 9, 6		1.0	1.0
223	223	1/2	.bVII		D	I										0	0				
223	223	5/8	viio64(b3)		D	I		viio64(b3)	vii	o	64	b3			o	0	0	-1, 5, -5		5.0	-1.0
224	224	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
224	224	1/4	iii		D	I		iii	iii						m	0	0	4, 1, 5		4.0	4.0
225	225	0	III6(b9)\\		D	I		III6(b9)	III		6	b9		\\	M	0	0	8, 5, 4	-8	4.0	8.0
228	228	1/8	.bVI		D	I										0	0				
228	228	5/16	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
